name,price_level,rating,city
bb's restaurant and bar,3,4.6,Jacksonville
Burrito Gallery Downtown,1,4.2,Jacksonville
Brick Restaurant,2,4.3,Jacksonville
Tijuana Flats,1,4.4,Jacksonville
Pizza Hut,1,3.2,Jacksonville
Silver Star Chinese Restaurant,1,4.2,Jacksonville
Cold Stone Creamery,2,4.2,Jacksonville
Jimmy John's,1,4,Jacksonville
Burger King,1,3.3,Jacksonville
Texas Roadhouse,2,4.5,Orange Park
SUBWAY®Restaurants,1,4.5,Baldwin
The River Club,-1,4.8,Jacksonville
Five Star Pizza - Jax,1,4.6,Jacksonville
Dunkin' Donuts,1,3.4,Jacksonville
Tijuana Flats,1,4.3,Jacksonville
Trellises Restaurant at Hyatt Regency Jacksonville Riverfront,-1,3.4,Jacksonville
Olive Garden Italian Restaurant,2,4.1,Jacksonville
King Wok Chinese Take Out,1,3.3,Jacksonville
Buffalo Wild Wings,2,3.3,Jacksonville
Wendy's,1,3.1,Jacksonville
Cracker Barrel Old Country Store,2,4,Jacksonville
Posada Don Diego Restaurant y Bar S. de R. L. de C. V.,-1,4.7,Vicente Guerrero
Restaurante Posada Don Diego R.V. Park & Motel,-1,4.6,Ensenda Vicente Guerrero
CANELA FINA COCINA FUSION,-1,-1,Vicente Guerrero
Restaurant Misión,-1,4.4,Mexico
hamburguesas mi casita,-1,4.5,Camalú
El Pollo Magolo,-1,2.5,Vicente Guerrero
Tico's Pizza,-1,4.3,Vicente Guerrero
Tacos Varios Sandoval,-1,4.3,Vicente Guerrero
Superdogos,-1,-1,Vicente Guerrero
Tortas Yukari,-1,4.4,Vicente Guerrero
Pizzas Baja,-1,4.6,San Quintín
Restaurante la villa,-1,3.6,San Quintín
Don Eddie's Restaurant,-1,5,Ensenada
Eucalipto Restaurant, Bar and Grill,-1,5,San Quintin
Molino Viejo,-1,4.5,San Quintín
Calle Cruzadas Cafe,-1,-1,callericardoflores Magón#413esq1rodemayo EnsenadaB.CC.P
Restaurante Jardín Los Frutales,-1,4.5,Vicente Guerrero
Mariscos Satos,-1,4.4,Ensenada
baja fish taco,-1,4.4,Carretera Transpeninsular
Club Nutricional Herbalife,-1,5,Colonia Santa Fe
El Pollo Magolo,-1,5,Vicente Guerrero
Kazoku Sushi Y Teriyaki,-1,4,Ciudadde México
Kazoku Sushi,-1,4.4,Vicente Guerrero
Baja Fiesta,-1,4.4,Baja California
Tacos Los Barriles De Costilla De Res,-1,4.2,Vicente Guerrero
Cocina del Mar, Costa 89,-1,5,Vicente Guerrero
Tacos Marshall Jr,-1,-1,Vicente Guerrero
Cocina Paty,-1,-1,Vicente Guerrero
Tacos El Poblano #1,-1,4,Vicente Guerrero
Restaurant Doña Chuy,-1,4.7,Vicente Guerrero
Tacos El Vapor Mexicali,-1,3,Vicente Guerrero
Happy Burguer,-1,4.3,Ciudadde México
Mr. Chun Kun,-1,-1,Vicente Guerrero
Tacos Reportados Don Manuel,-1,-1,Vicente Guerrero
Misiones de la California,-1,4.4,Vicente Guerrero
Birrieria EL Misa,-1,-1,Vicente Guerrero
Birrieria Y Tacos Por La Noche,-1,-1,Vicente Guerrero
Hotdogs Los Faroles,-1,-1,Vicente Guerrero
Taquería Melendrez Fish taco,-1,5,Vicente Guerrero
Fish Taco La Pasadita,-1,5,Vicente Guerrero
TERIYAKI LA KAM,-1,3.7,Vicente Guerrero
La Cochinita,-1,3.8,Ensenada
Mikaza Café,-1,4.2,Vicente Guerrero
Pollo Loco Taqueria,-1,5,Vicente Guerrero
Mikayo Sushi,-1,3.5,Vicente Guerrero
Minions Hotdogs,-1,4.8,Vicente Guerrero
tico's pizza,-1,4.4,Vicente Guerrero
Camelo,-1,4.5,Vicente Guerrero
Espacio Café & Snack,-1,4.7,Vicente Guerrero
Zana Frut,-1,-1,Reforma
Taqueria El Perico,-1,5,Camalú
Mariscos El Vado,-1,4.2,Camalú
Taqueria GUANAJUATO,-1,4,Camalú
Los GIRASOLES,-1,3,Camalú
Hamburguesas El Chino ( Chinos Burguer),-1,4,Camalú
Bodega Quimia,-1,5,Camalú
Pizzas Y Hamburguesas Yessy,-1,3.7,Emiliano Zapata
Pizzeria Rene's,-1,3,Emiliano Zapata
Yireh Sushi & Papas,-1,4.5,Vicente Guerrero
Papas Restaurant,-1,4.1,Camalú
Can't Stop Smokin',2,4.3,Ruidoso
Flying J Ranch,-1,4.7,Alto
SUBWAY®Restaurants,1,4.6,Ruidoso
SUBWAY®Restaurants,1,4.1,Ruidoso
Cornerstone Bakery Cafe,2,4.6,Ruidoso
The Village Buttery,2,4.8,Ruidoso
Mountain Annie's,-1,3.5,Ruidoso
Texas Club,3,3.8,Ruidoso
Great Wall of China,2,3.9,Ruidoso
Cattle Baron,2,3.8,Ruidoso
Grill Caliente,2,4.1,Ruidoso
Casa Blanca Restaurant,2,4,Ruidoso
Smokey Bear Restaurant,-1,4.4,Capitan
Schlotzsky's,1,4.5,Ruidoso
Pizza Hut,1,3.8,Ruidoso
Farley's Food Fun & Pub,2,3.7,Ruidoso
Comal Mexican Restaurant,-1,4.2,Ruidoso
Lincoln County Grill,2,3.9,Ruidoso
Domino's Pizza,1,3.5,Ruidoso
Mc Donald's,1,3.8,Ruidoso
El Camino Nuevo,2,4.1,Ruidoso
Sacred grounds restaurant,2,4.5,Ruidoso
Zocca Coffee & Tea,-1,4.7,Ruidoso
Michael J's Italian-American Restaurant,-1,4.2,Ruidoso
Sonic Drive-In,1,3.5,Ruidoso
Taco Bell,1,4.1,Ruidoso
The Ranchers Steak and Seafood Restaraunt,-1,3.9,Ruidoso
Pecos Valley Pizza Inc,-1,-1,Ruidoso
KFC,1,3.3,Ruidoso
La Sierra,-1,4.2,Alto
The Dolan House,1,4.9,Lincoln
Tina's Cafe,-1,4.7,Ruidoso
Circle K,-1,-1,Ruidoso Downs
Grazing Bull,-1,1,Capitan
Dickey's Barbecue Pit,2,4,Ruidoso Downs
Denny's,1,3.3,Ruidoso Downs
Shell,2,3.9,Ruidoso
Anaheim Jacks,2,4.3,Ruidoso
Renee's Real Food,-1,4.9,Capitan
Tinnie Silver Dollar,-1,4.5,Tinnie
Chef Shawn's Eatery,-1,4.9,Ruidoso
Hall Of Flame Burgers,-1,4.6,Ruidoso
Shell,2,4,Alto
Cafe Rio Pizza,2,4.3,Ruidoso
Dreamcatcher Cafe & Coffee House,-1,4.2,Ruidoso
Vinny & Val's,2,3.6,Ruidoso
Khrome GRILL,-1,4.6,Ruidoso
K-BOB'S Steakhouse,2,3.7,Ruidoso
Disco Taco,1,4.4,Ruidoso
Jorge's Cafe,-1,4.3,Ruidoso Downs
El Paraiso Mexican Restaurant,1,4.6,Ruidoso
Log Cabin Restaurant,2,4.5,Ruidoso
Ole Taco,1,4.2,Ruidoso
Hondo Senior Center,-1,-1,Hondo
Bears "R" Us,-1,4.4,Ruidoso
Taco Bell,-1,3.2,Ruidoso
Chileo's,-1,4,Ruidoso
All American Diner,-1,4,Ruidoso
Grill,-1,4,Ruidoso
Yee's,1,3.7,Ruidoso
Fifth St Catering Company & Take Out,-1,-1,Sanderson
The Ranch House,-1,4.3,Sanderson
Farm Cafe,-1,4,Unnamed Road
Neveria,-1,4.8,Monte Verde
Restaurant del Norte,-1,4,Chihuahua
Restaurante del Norte,-1,3.3,Campo#6
Restaurante del Hotel Rural,-1,-1,Huachinera
SUBWAY,1,3.8,Colquitt
SUBWAY®Restaurants,1,4.2,Bainbridge
Subway,1,4.1,Marianna
SUBWAY®Restaurants,1,4,Dothan
Ruby Tuesday,2,3.8,Marianna
Little Caesars Pizza,1,3.7,Dothan
SUBWAY®Restaurants,1,3.2,Bainbridge
SUBWAY®Restaurants,1,3.8,Donalsonville
Subway,1,4.2,Malone
SUBWAY®Restaurants,1,3.7,Blakely
SUBWAY®Restaurants,1,3.4,Ashford
Domino's Pizza,1,3.5,Dothan
Beef 'O' Brady's,2,3.8,Bainbridge
SUBWAY®Restaurants,1,3.6,Bainbridge
Subway,1,3.9,Chattahoochee
Subway,1,1.1,Marianna
SUBWAY®Restaurants,1,4.4,Dothan
SUBWAY®Restaurants,1,3,Dothan
SUBWAY®Restaurants,1,4.3,Dothan
Taco Bell,1,3.8,Dothan
Taco Bell,1,3.8,Marianna
Dairy Queen Grill & Chill,1,4.2,Bainbridge
Pilot Travel Center,-1,3.8,Marianna
Waffle House,1,4.2,Dothan
Chili's Grill & Bar,2,4.1,Dothan
Church's Chicken,1,3.3,Blakely
Domino's Pizza,1,4.4,Bainbridge
Waffle House,1,3.9,Dothan
Pizza Hut,1,3.3,Blakely
Papa John's Pizza,1,4.1,Dothan
Cicis,1,3.8,Dothan
Dairy Queen,1,3.8,Blakely
Waffle House,1,4,Marianna
Burger King,1,3,Dothan
Huddle House,1,3.5,Blakely
Atlanta Bread,2,4.6,Dothan
Oriental Express Chinese Restaurant,-1,4,Ashford
Hardee's,1,3.9,Donalsonville
Burger King,1,3.4,Bainbridge
Hunt's Seafood Restaurant & Oyster Bar,2,4.4,Dothan
Beef 'O' Brady's,2,4.1,Marianna
Pizza Hut,1,3.6,Marianna
Dunkin' Donuts,1,3.9,Dothan
Burger King,1,3.1,Marianna
SUBWAY,1,4.1,Dothan
Outback Steakhouse,2,4.1,Dothan
Wendy's,1,3.5,Marianna
Waffle House,1,3.9,Dothan
Arby's,1,4.1,Dothan
IHOP,1,4.1,Dothan
Mia's Italian Restaurant,-1,4.1,Dothan
Tropical Smoothie Cafe,1,4.5,Dothan
Waffle House,1,4.3,Marianna
Wendy's,1,3.6,Dothan
Dairy Queen,1,4.2,Dothan
Burger King,1,3.1,Marianna
Burger King,1,3.4,Dothan
Church's Chicken,1,3.7,Dothan
Pizza Hut,1,3.9,Dothan
Goldfingers,-1,3.9,Dothan
Bonefish Grill,2,4.3,Tallahassee
Wingstop,2,3.7,Tallahassee
Chipotle Mexican Grill,1,3.5,Tallahassee
Cypress Restaurant,2,4.5,Tallahassee
Little Caesars Pizza,1,3.9,Tallahassee
Red Elephant Pizza & Grill,2,4.3,Tallahassee
Tijuana Flats,1,4.4,Tallahassee
Jimmy John's,1,4.1,Tallahassee
Moe's Southwest Grill,1,4.2,Tallahassee
Hungry Howie's Pizza,1,3.2,Tallahassee
Little Caesars Pizza,1,4,Tallahassee
IHOP,1,3.6,Tallahassee
SUBWAY®Restaurants,1,3.4,Tallahassee
Pizza Hut,1,3.8,Tallahassee
Hungry Howie's Pizza,1,3.3,Tallahassee
Hungry Howie's Pizza,1,3.8,Tallahassee
Canopy Road Cafe,2,4.4,Tallahassee
Bagel Bagel,1,4.3,Tallahassee
Pizza Hut,1,3.1,Tallahassee
Harry's Seafood Bar & Grille,2,4.5,Tallahassee
Sarku Japan,1,3.3,Tallahassee
Auntie Anne's Pretzels,1,3,Tallahassee
SUBWAY,1,4.1,Havana
China Delight,2,3.9,Tallahassee
SUBWAY®Restaurants,1,4.3,Blountstown
Ruby Tuesday,2,4.1,Tallahassee
Olive Garden Italian Restaurant,2,4,Tallahassee
Outback Steakhouse,2,4,Tallahassee
The Honey Baked Ham Company and Cafe,2,4.4,Tallahassee
Juicy Blue Tapas Bar & Bistro,-1,3.5,Tallahassee
Steak 'n Shake,1,3.8,Tallahassee
Domino's Pizza,1,3.6,Tallahassee
Jacob's On the Plaza,-1,3.5,Tallahassee
Newk's Eatery,2,4.5,Tallahassee
Tijuana Flats,1,4.4,Tallahassee
Cracker Barrel Old Country Store,2,4.2,Tallahassee
Tan's Asian Cafe,2,4.5,Tallahassee
SUBWAY®Restaurants,1,3.6,Midway
Osaka Japanese Steak House,2,4.3,Tallahassee
Jersey Mike's Subs,1,4.3,Tallahassee
Waffle House,1,4,Tallahassee
Five Guys,2,4.5,Tallahassee
Pizza Hut,1,3.9,Tallahassee
SUBWAY®Restaurants,1,4.1,Tallahassee
Empire Chinese Restaurant,1,4,Tallahassee
Wells Brothers Bar and Grill,2,4.6,Tallahassee
Le Roc Lounge,-1,5,Tallahassee
Guthrie's,1,4.1,Tallahassee
Moe's Southwest Grill,1,4,Tallahassee
New China Restaurant,1,3.9,Tallahassee
Panera Bread,2,4.1,Tallahassee
Golden Corral,2,3.6,Tallahassee
Applebee’s Grill + Bar,2,3.3,Tallahassee
Kool Beanz Cafe,2,4.6,Tallahassee
SUBWAY®Restaurants,1,3.8,Tallahassee
Dunkin' Donuts,1,3.2,Tallahassee
Dunkin' Donuts,1,3.7,Tallahassee
Sage Restaurant,3,4.7,Tallahassee
Renegade Grill,-1,4,Tallahassee
New Times Country Buffet,1,4.1,Tallahassee
The Retreat At Artesian Lakes,-1,4.4,Cleveland
Cracker Barrel Old Country Store,2,4.3,Conroe
Texas Roadhouse,2,4.4,Conroe
SUBWAY®Restaurants,1,3.8,Cleveland
Little Caesars Pizza,1,3.5,Livingston
SUBWAY®Restaurants,1,3.4,Cleveland
SUBWAY®Restaurants,1,3.6,Willis
Papa John's Pizza,1,3.6,Conroe
SUBWAY®Restaurants,1,2.6,Conroe
Ryan's,2,4,Conroe
Joe's Italian Restaurant,2,4.7,Conroe
SUBWAY®Restaurants,1,3.2,New Caney
Conroe's Incredible Pizza Company,1,4.1,Conroe
Subway,1,4.2,Livingston
Chili's Grill & Bar,2,3.8,Conroe
SUBWAY®Restaurants,1,3.7,Conroe
SUBWAY®Restaurants,1,3.7,Conroe
IHOP,1,4.1,Conroe
SUBWAY®Restaurants,1,2.9,Porter
SUBWAY®Restaurants,1,3.8,Conroe
Subway,1,4,Conroe
SUBWAY®Restaurants,1,4.9,Conroe
SUBWAY®Restaurants,1,3.8,Splendora
SUBWAY®Restaurants,1,4,Onalaska
SUBWAY®Restaurants,1,2.8,Cleveland
Little Caesars Pizza,1,2.9,Conroe
Little Caesars Pizza,1,3.5,Cleveland
Panera Bread,2,3.9,Conroe
SUBWAY®Restaurants,1,3.4,Conroe
Waffle House,1,4.1,Conroe
Domino's Pizza,1,3.7,Cleveland
Chuck E. Cheese's,2,3.7,Conroe
Margarita's Mexican Restaurant,2,3.8,Huntsville
Pizza Hut,1,3.6,Livingston
SUBWAY®Restaurants,1,2.4,Conroe
Mc Kenzie's Barbeque,2,4.3,Conroe
Cicis,1,3.2,Conroe
Red Lobster,2,3.8,Conroe
Schlotzsky's,1,4.3,Conroe
Big Kahuna,-1,4.4,Cleveland
Shack BBQ,-1,4.3,Cleveland
Taco Bell,1,4,Cleveland
Farmhouse Cafe,2,4.5,Huntsville
Pueblo Viejo,2,4.3,Livingston
Original Italian Pizza,2,3.7,Willis
Olive Garden Italian Restaurant,2,4.1,Conroe
Sonic Drive-In,1,4.2,Conroe
Church's Chicken,1,3.2,Cleveland
Pizza Inn,1,2.7,Conroe
Pizza Hut,1,3.4,Conroe
Jack in the Box,1,3.6,Conroe
Florida's Kitchen,2,4.4,Livingston
Church's Chicken,1,3.2,Conroe
Mc Donald's,1,3.6,Conroe
Dairy Queen Store,1,3.7,Cleveland
SUBWAY®Restaurants,1,3.9,Coldspring
Church's Chicken,1,2.8,Livingston
Papa John's Pizza,1,2.7,New Caney
Jack in the Box,1,3.1,Conroe
Taco Bell,1,3.7,Willis
SUBWAY,1,3.5,Ozona
Dairy Queen Store,1,3.5,Ozona
Hitchin Post Steak House,2,4,Ozona
Sonic Drive-In,1,3.4,Ozona
Godfather's Pizza,2,3.3,Ozona
Wagon Wheel BBQ,-1,4.6,Ozona
Laredo Taco Company,-1,5,Ozona
El Chatos Restaurant,-1,4.3,Ozona
Pepe's Cafe,2,4.4,Ozona
Mingo's Burritos,-1,4.5,Ozona
Destiny's Grill,-1,4.2,Ozona
Mi Taco,-1,4.6,Ozona
The Cafe Next Door,-1,4.2,Ozona
Bryan's Poco Taco,1,4.4,Ozona
Mi Familia Restaurant,-1,3.3,Ozona
Mexican Resturant,-1,4,Ozona
Chiltepino's Wings Magdalena,-1,4.3,Magdalenade Kino
CIBER RUTH,-1,5,Imuris
Restaurant Alma,-1,4.3,Imuris
Restaurant Elba,-1,4.5,Santa Ana
Tic Tak Pizzeria,-1,4.6,Magdalenade Kino
Pollo Feliz,-1,2.4,Mexico
Pinnos Burger,-1,4.5,Magdalenade Kino
Dogos Obregon,-1,1,Magdalenade Kino
Taqueria Galan,-1,-1,Magdalenade Kino
Subway,-1,3.6,Sonoyta
Home Plate,-1,4.3,Magdalenade Kino
Subway,-1,4.1,Magdalenade Kino
Taqueria Sonora,-1,2.8,Magdalenade Kino
Mi Tierra Restaurante,-1,4.4,Magdalenade Kino
La Cabaña De Calza Restaurant,-1,4.1,Imuris
Subway,1,4.1,Santa Ana
La Cabaña del Tio Tom,-1,3,Cananea
Asadero El Mezquite,-1,-1,Santa Ana
Cristy Restaurante,-1,5,Magdalenade Kino
Burritos rikolinos,-1,-1,El Tasícuri
Mariscos Sinaloa,-1,4.2,Magdalenade Kino
Cachimba Imelda,-1,4.4,Magdalenade Kino
La Caseta Hot Dogs,-1,3.6,Ciudadde México
Tortillas de Harina hechas a mano,-1,-1,Magdalenade Kino
Don Ruben,-1,-1,El Tasícuri
Burritos Magui,-1,-1,Magdalenade Kino
Hot Dog's Robert's,-1,5,Magdalenade Kino
Cahuamantalos Efectivos,-1,4.2,Magdalenade Kino
Taqueria Diana,-1,5,Magdalenade Kino
Taquería La Bonita,-1,5,Magdalenade Kino
Los Aguachiles Mariscos,-1,4.3,Heroica Nogales
cafe club kino,-1,4,Magdalenade Kino
Tacos Dorados Y Chimis El Chapo,-1,-1,Magdalenade Kino
Cajeme,-1,4,Magdalenade Kino
Mariscos Cajeme,-1,4.5,Magdalenade Kino
Burros Percherones Con Panchito,-1,5,Magdalenade Kino
Hot Dogs "Los Gorditos",-1,4.3,Magdalenade Kino
